iter	Passed	Remaining
0	137	137246
1	139	69578
2	141	46926
3	143	35626
4	144	28822
5	146	24337
6	149	21256
7	152	18858
8	154	16961
9	156	15484
10	158	14219
11	159	13139
12	160	12212
13	162	11425
14	163	10741
15	164	10145
16	166	9616
17	167	9137
18	168	8693
19	169	8290
20	170	7925
21	170	7589
22	171	7282
23	172	6999
24	172	6734
25	173	6494
26	174	6271
27	174	6062
28	175	5866
29	175	5684
30	176	5529
31	177	5372
32	178	5220
33	178	5077
34	179	4942
35	179	4813
36	180	4692
37	180	4578
38	181	4470
39	182	4368
40	182	4270
41	183	4176
42	183	4087
43	184	4001
44	184	3920
45	185	3841
46	185	3771
47	186	3703
48	187	3637
49	188	3576
50	188	3512
51	189	3451
52	189	3392
53	190	3336
54	191	3282
55	191	3229
56	192	3181
57	192	3133
58	193	3086
59	194	3040
60	194	2996
61	195	2955
62	195	2912
63	196	2872
64	196	2832
65	197	2794
66	198	2757
67	198	2717
68	198	2684
69	199	2656
70	200	2625
71	201	2593
72	201	2561
73	202	2530
74	202	2501
75	203	2472
76	204	2445
77	204	2418
78	205	2391
79	205	2365
80	206	2339
81	206	2314
82	207	2290
83	207	2267
84	208	2241
85	208	2219
86	209	2195
87	209	2174
88	210	2153
89	210	2132
90	211	2113
91	212	2097
92	213	2079
93	213	2060
94	214	2041
95	214	2022
96	215	2005
97	216	1988
98	216	1971
99	217	1954
100	217	1938
101	218	1919
102	218	1903
103	219	1887
104	219	1872
105	220	1857
106	220	1842
107	221	1827
108	221	1813
109	222	1799
110	222	1785
111	223	1772
112	224	1760
113	224	1748
114	225	1736
115	226	1723
116	226	1711
117	227	1699
118	227	1686
119	228	1674
120	228	1663
121	229	1651
122	229	1638
123	230	1626
124	230	1616
125	231	1605
126	232	1595
127	232	1583
128	232	1572
129	233	1562
130	234	1552
131	234	1542
132	235	1532
133	235	1523
134	236	1514
135	237	1506
136	238	1499
137	238	1489
138	239	1481
139	239	1473
140	240	1464
141	240	1455
142	241	1446
143	241	1438
144	242	1429
145	243	1421
146	243	1413
147	244	1405
148	244	1397
149	245	1389
150	245	1381
151	246	1374
152	246	1366
153	247	1358
154	247	1351
155	248	1344
156	249	1337
157	250	1332
158	250	1326
159	251	1319
160	252	1313
161	252	1306
162	253	1299
163	253	1293
164	254	1286
165	254	1279
166	255	1273
167	255	1266
168	256	1260
169	256	1254
170	257	1248
171	258	1242
172	258	1235
173	259	1229
174	259	1223
175	260	1217
176	260	1211
177	261	1206
178	262	1201
179	262	1197
180	263	1191
181	263	1185
182	264	1180
183	264	1174
184	265	1169
185	266	1164
186	266	1159
187	267	1153
188	267	1148
189	268	1143
190	268	1138
191	269	1132
192	269	1128
193	270	1124
194	271	1119
195	271	1114
196	272	1110
197	273	1106
198	273	1102
199	274	1098
200	275	1094
201	276	1090
202	276	1086
203	277	1081
204	277	1076
205	278	1072
206	278	1068
207	279	1063
208	279	1059
209	280	1054
210	281	1050
211	281	1046
212	282	1042
213	282	1038
214	283	1034
215	283	1030
216	284	1026
217	284	1022
218	285	1018
219	286	1014
220	286	1010
221	287	1007
222	288	1004
223	288	1000
224	289	997
225	290	993
226	290	990
227	291	986
228	291	982
229	292	978
230	292	975
231	293	971
232	293	967
233	294	964
234	295	960
235	295	957
236	296	953
237	296	950
238	297	946
239	297	943
240	298	939
241	298	936
242	299	933
243	300	930
244	301	928
245	301	925
246	302	922
247	303	918
248	303	915
249	304	912
250	304	909
251	305	906
252	305	902
253	306	899
254	306	896
255	307	893
256	308	890
257	308	887
258	309	884
259	309	881
260	310	878
261	310	875
262	311	872
263	311	869
264	312	866
265	313	864
266	314	862
267	314	859
268	315	856
269	315	853
270	316	850
271	316	847
272	317	845
273	317	842
274	318	839
275	318	836
276	319	833
277	320	831
278	320	828
279	321	826
280	321	823
281	322	821
282	323	818
283	323	815
284	324	813
285	324	810
286	325	808
287	326	806
288	326	803
289	327	801
290	327	798
291	328	796
292	329	793
293	329	791
294	330	788
295	330	786
296	331	783
297	331	781
298	332	778
299	332	776
300	333	774
301	334	772
302	335	770
303	335	768
304	336	766
305	336	763
306	337	761
307	338	759
308	338	757
309	339	755
310	340	753
311	340	751
312	341	748
313	341	746
314	342	744
315	342	742
316	343	740
317	343	737
318	344	735
319	345	734
320	346	732
321	347	730
322	347	728
323	348	726
324	348	724
325	349	722
326	349	719
327	350	717
328	351	716
329	351	714
330	352	712
331	353	710
332	353	708
333	354	706
334	354	704
335	355	702
336	356	700
337	356	698
338	357	696
339	357	694
340	358	692
341	358	690
342	359	688
343	360	686
344	360	684
345	361	682
346	361	680
347	362	678
348	362	676
349	363	674
350	364	673
351	364	671
352	365	669
353	366	668
354	366	666
355	367	664
356	367	662
357	368	660
358	368	658
359	369	656
360	370	655
361	370	653
362	371	651
363	371	649
364	372	647
365	372	645
366	373	644
367	373	642
368	374	640
369	374	638
370	375	636
371	376	634
372	376	633
373	377	632
374	378	630
375	378	628
376	379	627
377	380	625
378	380	623
379	381	622
380	381	620
381	382	618
382	382	616
383	383	615
384	383	613
385	384	611
386	385	610
387	385	608
388	386	606
389	386	605
390	387	603
391	387	601
392	388	599
393	389	598
394	389	597
395	390	595
396	391	594
397	391	592
398	392	591
399	392	589
400	393	587
401	394	586
402	394	584
403	395	583
404	395	581
405	396	579
406	396	578
407	397	576
408	397	575
409	398	573
410	399	571
411	399	570
412	400	568
413	400	567
414	401	565
415	401	564
416	402	563
417	403	562
418	404	560
419	404	559
420	405	557
421	405	555
422	406	554
423	407	552
424	407	551
425	408	550
426	408	548
427	409	547
428	409	545
429	410	543
430	410	542
431	411	541
432	412	539
433	412	538
434	413	536
435	413	535
436	414	534
437	415	532
438	416	531
439	416	530
440	417	529
441	417	527
442	418	526
443	419	524
444	419	523
445	420	521
446	420	520
447	421	518
448	421	517
449	422	516
450	422	514
451	423	513
452	424	512
453	424	510
454	425	509
455	425	507
456	426	506
457	426	505
458	427	503
459	428	502
460	429	501
461	429	500
462	430	499
463	430	497
464	431	496
465	431	494
466	432	493
467	433	492
468	433	490
469	434	489
470	434	488
471	435	486
472	435	485
473	436	484
474	436	482
475	437	481
476	438	480
477	438	478
478	439	477
479	439	476
480	440	475
481	441	474
482	442	473
483	442	472
484	443	470
485	444	469
486	444	468
487	445	467
488	445	465
489	446	464
490	446	463
491	447	462
492	448	460
493	448	459
494	449	458
495	449	457
496	450	455
497	450	454
498	451	453
499	451	451
500	452	450
501	453	449
502	454	448
503	454	447
504	455	446
505	456	445
506	456	444
507	457	442
508	457	441
509	458	440
510	459	439
511	459	438
512	460	436
513	460	435
514	461	434
515	462	433
516	462	432
517	463	431
518	464	430
519	464	428
520	465	427
521	465	426
522	466	425
523	467	424
524	468	423
525	469	422
526	469	421
527	470	420
528	470	419
529	471	418
530	472	416
531	472	415
532	473	414
533	473	413
534	474	412
535	474	411
536	475	410
537	476	408
538	476	407
539	477	406
540	478	405
541	478	404
542	479	403
543	480	402
544	481	401
545	481	400
546	482	399
547	482	398
548	483	397
549	483	395
550	484	394
551	485	393
552	485	392
553	486	391
554	486	390
555	487	389
556	487	388
557	488	386
558	489	385
559	489	384
560	490	383
561	490	382
562	491	381
563	492	380
564	493	379
565	493	378
566	494	377
567	495	376
568	495	375
569	496	374
570	496	373
571	497	372
572	497	371
573	498	370
574	499	369
575	499	367
576	500	366
577	501	365
578	501	364
579	502	363
580	502	362
581	503	361
582	504	360
583	504	359
584	505	358
585	506	357
586	507	356
587	507	355
588	508	354
589	509	353
590	509	352
591	510	351
592	510	350
593	511	349
594	511	348
595	512	347
596	513	346
597	513	345
598	514	344
599	515	343
600	515	342
601	516	341
602	517	340
603	518	339
604	518	338
605	519	337
606	519	336
607	520	335
608	521	334
609	521	333
610	522	332
611	522	331
612	523	330
613	523	329
614	524	328
615	525	327
616	526	326
617	526	325
618	527	324
619	527	323
620	528	322
621	528	321
622	529	320
623	530	319
624	531	318
625	532	317
626	532	316
627	533	315
628	533	314
629	534	313
630	534	312
631	535	311
632	536	310
633	536	309
634	537	308
635	537	307
636	538	306
637	539	305
638	539	304
639	540	303
640	540	302
641	541	301
642	541	300
643	542	300
644	543	299
645	544	298
646	544	297
647	545	296
648	546	295
649	546	294
650	547	293
651	548	292
652	548	291
653	549	290
654	549	289
655	550	288
656	551	287
657	551	286
658	552	285
659	552	284
660	553	283
661	554	282
662	554	281
663	555	280
664	556	280
665	556	279
666	558	278
667	559	278
668	560	277
669	561	276
670	562	276
671	564	275
672	565	274
673	567	274
674	568	273
675	570	273
676	571	272
677	572	272
678	573	271
679	575	270
680	576	269
681	577	269
682	578	268
683	579	267
684	580	266
685	581	266
686	582	265
687	582	264
688	583	263
689	584	262
690	584	261
691	585	260
692	586	259
693	586	258
694	587	257
695	592	258
696	593	258
697	594	257
698	595	256
699	596	255
700	596	254
701	597	253
702	598	252
703	598	251
704	599	250
705	599	249
706	600	248
707	601	248
708	602	247
709	602	246
710	603	245
711	604	244
712	604	243
713	605	242
714	605	241
715	606	240
716	607	239
717	607	238
718	608	237
719	608	236
720	609	235
721	610	234
722	610	234
723	611	233
724	612	232
725	612	231
726	613	230
727	614	229
728	615	228
729	615	227
730	616	226
731	617	225
732	617	224
733	618	224
734	618	223
735	619	222
736	620	221
737	620	220
738	621	219
739	621	218
740	622	217
741	622	216
742	623	215
743	624	214
744	624	213
745	625	212
746	626	212
747	627	211
748	628	210
749	629	209
750	629	208
751	630	207
752	630	206
753	631	206
754	631	205
755	632	204
756	633	203
757	633	202
758	634	201
759	635	200
760	635	199
761	636	198
762	636	197
763	637	196
764	638	196
765	638	195
766	639	194
767	640	193
768	641	192
769	641	191
770	642	190
771	642	189
772	643	189
773	644	188
774	644	187
775	645	186
776	646	185
777	646	184
778	647	183
779	647	182
780	648	181
781	648	180
782	649	179
