iter	Passed	Remaining
0	1	1037
1	1	966
2	2	911
3	3	898
4	4	963
5	8	1360
6	8	1272
7	9	1212
8	11	1230
9	12	1217
10	13	1171
11	13	1137
12	14	1117
13	15	1093
14	16	1078
15	17	1051
16	17	1032
17	19	1048
18	19	1032
19	21	1051
20	22	1039
21	23	1027
22	23	1010
23	24	1002
24	25	987
25	25	973
26	26	958
27	27	946
28	27	935
29	28	925
30	29	921
31	30	917
32	31	908
33	31	899
34	32	891
35	33	889
36	33	882
37	34	875
38	35	869
39	35	861
40	36	857
41	37	852
42	38	846
43	38	840
44	39	834
45	40	830
46	40	825
47	41	822
48	42	817
49	42	812
50	43	807
51	44	803
52	44	799
53	45	796
54	46	793
55	47	792
56	47	792
57	48	788
58	49	785
59	49	781
60	50	778
61	51	777
62	52	774
63	52	771
64	53	770
65	54	767
66	54	764
67	55	760
68	56	760
69	56	757
70	57	754
71	58	751
72	59	749
73	59	746
74	60	744
75	61	742
76	61	741
77	62	738
78	63	735
79	63	733
80	64	733
81	65	730
82	65	725
83	66	723
84	67	723
85	67	721
86	68	719
87	69	717
88	69	716
89	70	714
90	71	712
91	72	710
92	72	708
93	73	706
94	73	703
95	74	700
96	75	698
97	75	695
98	76	692
99	76	690
100	77	689
101	78	688
102	78	686
103	79	685
104	80	684
105	80	682
106	81	681
107	82	681
108	83	682
109	84	682
110	85	681
111	85	680
112	86	678
113	87	676
114	87	675
115	88	673
116	88	671
117	89	668
118	90	667
119	90	665
120	91	663
121	91	660
122	92	658
123	92	656
124	93	655
125	94	655
126	95	653
127	95	653
128	96	651
129	97	651
130	97	649
131	98	647
132	99	645
133	99	643
134	100	642
135	100	640
136	101	639
137	102	637
138	102	636
139	103	635
140	104	634
141	104	632
142	105	631
143	106	630
144	106	629
145	107	627
146	107	625
147	108	624
148	109	623
149	109	622
150	110	623
151	111	622
152	112	621
153	112	620
154	113	619
155	114	617
156	114	617
157	115	615
158	116	615
159	116	613
160	117	611
161	117	609
162	118	608
163	119	607
164	119	606
165	120	604
166	121	603
167	121	603
168	122	602
169	123	601
170	123	600
171	125	601
172	125	602
173	126	602
174	127	601
175	128	601
176	129	600
177	129	599
178	130	600
179	131	599
180	132	598
181	133	598
182	133	597
183	134	597
184	135	596
185	135	594
186	136	593
187	137	593
188	138	593
189	139	593
